Name,Cuisine,Rating,Dietary options,Opening Hours
Opa! Greek Taverna,Greek,2.5,Vegan,15:00 - 22:00
P.F. Chang's,Chinese,1.1,Meat,13:00 - 21:00
Thai House,Thai,3,Meat,13:00 - 21:00
Panda Express,Chinese,4.7,Meat,14:00 - 23:00
Bangkok Street Food,Thai,1.5,Vegetarian,13:00 - 21:00
Kyma Greek Cuisine,Greek,2.2,Vegan,14:00 - 22:00
Balthazar,French,2.1,Vegan,14:00 - 21:00
Dos Caminos,Mexican,2.4,Vegetarian,15:00 - 21:00
Chipotle Mexican Grill,Mexican,1.8,Meat,12:00 - 22:00
Nobu,Japanese,4.1,Meat,12:00 - 22:00
Pink Elephant,Thai,3.1,Vegan,11:00 - 22:00
Romano's Macaroni Grill,Italian,2.3,Meat,13:00 - 22:00
The Bombay Canteen,Indian,4.4,Vegan,11:00 - 23:00
La Grenouille,French,2.3,Meat,12:00 - 22:00
Casa Vega,Mexican,3.6,Vegan,15:00 - 21:00
Buca di Beppo,Italian,4.6,Vegetarian,14:00 - 22:00
Biryani Factory,Indian,3.2,Vegetarian,13:00 - 21:00
Maggiano's,Italian,3.3,Meat,16:00 - 01:00
L'Atelier de Joel Robuchon,French,4.2,Vegan,12:00 - 21:00
Carrabba,Italian,3.2,Vegan,15:00 - 22:00
Mr. Chow,Chinese,1.4,Vegan,16:00 - 01:00
Sawasdee,Thai,3,Meat,14:00 - 23:00
Jean-Georges,French,1.9,Meat,14:00 - 23:00
Taco Bell,Mexican,3.3,Meat,15:00 - 22:00
Il Fornaio,Italian,4.2,Meat,10:00 - 21:00
Din Tai Fung,Chinese,1.4,Vegan,15:00 - 21:00
Olive Garden,Italian,2,Vegetarian,16:00 - 22:00
Crystal Lotus,Chinese,1.7,Vegan,10:00 - 22:00
Rang Mahal,Indian,4,Vegan,15:00 - 23:00
Morimoto,Japanese,3.8,Meat,15:00 - 22:00
Chai Thai Noodles,Thai,2.3,Vegetarian,14:00 - 22:00
Noodle Alley,Thai,4.7,Vegan,16:00 - 23:00
Taqueria Los Hermanos,Mexican,3.1,Meat,11:00 - 23:00
Shang Palace,Chinese,5,Vegetarian,14:00 - 21:00
Le Coucou,French,3.1,Vegan,12:00 - 23:00
Spice Kitchen,Indian,3.3,Vegan,11:00 - 22:00
Punjab Grill,Indian,2.7,Meat,16:00 - 21:00
Fu He Hui,Chinese,1.7,Vegetarian,14:00 - 23:00
Niko's Mediterranean Grill & Bistro,Greek,2.1,Vegetarian,11:00 - 22:00
Yauatcha,Chinese,3.8,Vegetarian,14:00 - 22:00
La Palapa Coastal,Mexican,1.9,Vegetarian,14:00 - 21:00
Sala Thai,Thai,4.6,Meat,15:00 - 22:00
Tim Ho Wan,Chinese,4,Meat,15:00 - 21:00
Le Jules Verne,French,1.5,Vegetarian,11:00 - 23:00
Ba Shan,Chinese,4.2,Meat,13:00 - 21:00
The Little Greek,Greek,1.6,Meat,13:00 - 21:00
Lei Garden,Chinese,4.7,Vegetarian,10:00 - 22:00
SUGA,Japanese,2.2,Vegetarian,10:00 - 23:00
Mythos Kouzina & Grill,Greek,3.4,Vegetarian,15:00 - 21:00
Fook Lam Moon,Chinese,3.3,Meat,10:00 - 23:00
